,Einkommen,Name
0,1825.00,Zentrum
1,1685.21,Zentrum-Ost
2,1230.3,Zentrum-Südost
3,1723.61,Zentrum-Süd
4,1860.62,Zentrum-West
5,2001.7,Zentrum-Nordwest
6,1810.56,Zentrum-Nord
7,1259.56,Schönefeld-Abtnaundorf
8,1240.02,Schönefeld-Ost
9,1420.59,Mockau-Süd
10,1430.74,Mockau-Nord
11,1530.33,Thekla
12,1419.55,Plaußig-Portitz
13,1369.3,Neustadt-Neuschönefeld
14,1313.68,Volkmarsdorf
15,1409.4,Anger-Crottendorf
16,1355.35,Sellerhausen-Stünz
17,1221.79,Paunsdorf
18,1669.87,Heiterblick
19,1747.17,Mölkau
20,1646.59,Engelsdorf
21,1792.77,Baalsdorf
22,1777.17,Althen-Kleinpösna
23,1477.19,Reudnitz-Thonberg
24,1618.45,Stötteritz
25,1711.17,Probstheida
26,1467.02,Meusdorf
27,1632.072,Liebertwolkwitz
28,1992.18,Holzhausen
29,1866.34,Südvorstadt
30,1530.43,Connewitz
31,1502.18,Marienbrunn
32,1374.76,Lößnig
33,1629.93,Dölitz-Dösen
34,2016.00,Schleußig
35,1545.15,Plagwitz
36,1478.87,Kleinzschocher
37,1453.67,Großzschocher
38,1712.44,Knautkleeberg-Knauthain
39,1443.06,Hartmannsdorf-Knautnaundorf
40,1684.03,Schönau
41,1182.69,Grünau-Ost
42,1269.93,Grünau-Mitte
43,1739.58,Grünau-Siedlung
44,1380.26,Lausen-Grünau
45,1194.08,Grünau-Nord
46,1563.48,Miltitz
47,1735.65,Lindenau
48,1391.18,Altlindenau
49,1488.14,Neulindenau
50,1500.29,Leutzsch
51,1486.12,Böhlitz-Ehrenberg
52,1924.44,Burghausen-Rückmarsdorf
53,1646.73,Möckern
54,1411.52,Wahren
55,1539.42,Lützschena-Stahmeln
56,1654.84,Lindenthal
57,1820.95,Gohlis-Süd
58,1700.4,Gohlis-Mitte
59,1571.81,Gohlis-Nord
60,1652.4,Eutritzsch
61,1674.41,Seehausen
62,1760.49,Wiederitzsch
